slug_name,index_name,2014-15,2015-16,2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
states_share_of_taxes_and_duties,States’ share of taxes and duties,337808.0,506193.0,608000.0,608000.0,674565.0,673005.0,788093.0,Rs crore,#6ea63a
finance_commission_grants,Finance Commission Grants,,84579.0,99115.0,95550.0,103101.0,101490.0,109373.0,Rs crore,#6ea63a
scheme_related_transfers,Scheme Related Transfers,,195051.0,201363.0,228957.0,212466.0,296724.0,310987.0,Rs crore,#6ea63a
other_transfers,Other Transfers,,43143.0,44864.0,48054.0,48447.0,39386.0,54482.0,Rs crore,#6ea63a
transfer_to_north_eastern_states,Transfer to North Eastern States,,378.0,31422.0,,42499.0,,,Rs crore,#6ea63a
total_transfers_to_uts_with_legislature,Total Transfers to UTs with legislature,,5139.0,5547.0,5113.0,3996.0,5272.0,6500.0,Rs crore,#6ea63a
finance_commission_grants_and_other_transfers_to_states,Finance Commission grants and other transfers to states,348027.0,328290.0,382311.0,377674.0,410510.0,442872.0,481342.0,Rs crore,#6ea63a
total_transfers_to_states_and_ut_includes_loans,Total transfers to States and UT (includes loans),685835.0,830613.0,990311.0,985674.0,1085075.0,1115877.0,1269435.0,Rs crore,#6ea63a
gdp_at_current_market_prices,GDP at current market prices,12433749.0,13675331.0,15183709.0,15183709.0,16784679.0,16784679.0,18722302.0,Rs crore,#6ea63a
states_share_of_central_taxes_and_duties_as_of_gdp,States’ share of central taxes and duties as % of GDP,2.7168635943994044,3.701504555904351,4.004291705010942,4.004291705010942,4.018932980487741,4.00963879023245,4.209380876347364,Percentage,#6ea63a
other_transfers_as_share_of_gdp,Grants ( tranfsers other than Tax Devolution) as share of GDP,2.799051195258968,2.3723008971409905,2.5179025757145372,2.487363265457735,2.4457423344229583,2.638549119706132,2.570955216938601,Percentage,#6ea63a
total_union_resources_transferred_to_states_as_of_gdp,Total Union Resources transferred to States as % of GDP,5.515914789658372,6.073805453045341,6.522194280725479,6.491654970468678,6.464675314910699,6.648187909938581,6.780336093285964,Percentage,#6ea63a
